LotArea,BedroomAbvGr,YrSold,MoSold,SalePrice
16196,3,2007,8,215000
16560,4,2006,7,239000
8314,2,2007,6,124500
11700,4,2009,5,265979
4118,2,2006,3,52500
9842,2,2007,3,101800
9758,3,2007,7,119500
8400,3,2010,4,171000
9204,3,2008,8,124000
5330,2,2007,8,251000
13869,3,2007,7,177000
13300,2,2007,6,132000
12546,3,2007,4,182900
10800,3,2008,4,163000
10780,3,2006,7,132500
9937,3,2009,3,167000
11670,3,2007,3,320000
10012,3,2008,4,137500
10316,3,2008,6,235000
11600,3,2006,4,145250
8712,2,2010,6,55993
9120,3,2008,11,163000
13700,4,2008,5,201800
13500,3,2008,7,325000
12257,4,2007,11,290000
5381,1,2009,8,196000
1596,2,2009,11,91000
6240,2,2009,12,254000
8172,4,2008,5,135000
5500,1,2007,4,103200
7937,3,2006,3,142500
8525,4,2008,11,130000
4750,2,2007,12,235000
9550,3,2006,2,140000
8724,3,2007,5,129000
10721,3,2008,10,142000
4923,0,2008,8,286000
10437,2,2008,8,350000
8400,3,2008,7,174000
1533,3,2009,5,97000
12692,4,2007,5,430000
8281,3,2009,12,62383
12168,4,2007,9,359100
7763,3,2008,10,140000
8780,3,2009,3,112000
10859,3,2009,6,145000
8100,2,2007,6,153500
7227,2,2008,6,105500
8635,2,2008,1,127000
4928,2,2007,2,128000
5684,2,2006,6,110000
8544,2,2009,6,92900
9060,3,2007,6,120000
10839,3,2008,7,181000
13132,4,2006,7,138887
14541,5,2006,11,310000
10150,2,2007,7,114500
13500,1,2008,3,235000
6120,3,2009,7,133000
7931,3,2008,6,155000
3378,3,2009,9,135000
2368,3,2009,5,125000
12886,3,2009,10,175000
9100,3,2006,10,216837
6120,2,2008,4,129900
10152,3,2007,6,135000
11880,3,2009,4,157000
1526,1,2009,5,86000
11717,2,2009,2,185000
10896,8,2007,3,200000
7018,6,2009,6,142953
9636,3,2009,12,178000
8450,3,2007,10,185000
11241,2,2010,3,149000
9360,3,2010,3,197500
9572,4,2007,6,302000
16905,2,2007,7,170000
10791,2,2006,10,90000
11885,3,2009,11,261500
10400,3,2008,5,174000
2160,2,2008,3,160000
9965,4,2007,4,424870
10335,3,2006,7,180000
10500,2,2009,3,97000
11075,4,2008,6,206900
9600,2,2007,5,135000
15865,4,2007,10,268000
11341,3,2010,5,121500
10192,4,2006,9,170000
12378,3,2006,11,360000
8530,3,2009,5,168500
10625,3,2010,1,170000
8163,3,2006,3,143000
8250,3,2008,7,145000
9473,3,2008,3,237000
11049,3,2008,1,179900
9600,3,2008,4,119000
8520,2,2007,7,100000
8405,4,2008,4,119000
8737,3,2007,5,210000
7332,2,2006,10,120000
6240,2,2009,1,103000
9416,3,2007,9,311872
3196,2,2006,10,234000
4400,2,2006,10,116000
8125,3,2009,3,174000
5720,3,2009,8,66500
57200,3,2010,6,160000
2665,3,2008,6,115000
7500,3,2010,1,216000
7700,3,2007,3,112500
6171,3,2009,10,137450
8849,2,2008,7,266000
14100,4,2008,5,381000
17423,1,2009,7,501837
8450,3,2010,4,138500
9350,3,2007,10,158000
11616,3,2009,9,139000
10652,3,2007,8,279500
8198,2,2008,7,207000
7032,2,2006,12,135960
8978,3,2007,5,108000
9819,3,2010,2,122000
11248,3,2007,7,285000
8172,2,2006,4,115000
21750,3,2009,11,115000
12160,3,2010,5,142000
10440,3,2008,6,157500
9452,3,2006,6,348000
11700,3,2007,6,175000
9375,3,2009,2,219500
8712,2,2010,1,102776
6240,3,2006,4,115000
18030,3,2007,3,200500
10927,3,2006,6,275000
9042,3,2008,7,192000
10304,4,2009,10,197500
14598,4,2008,1,214000
11751,3,2010,1,190000
18890,4,2007,8,190000
4043,2,2010,7,127500
5310,2,2006,6,117000
10728,3,2006,8,266000
6762,2,2006,7,193879
5330,2,2009,12,82500
13474,4,2007,6,225000
3072,2,2006,5,178740
6931,3,2008,7,165400
10678,4,2007,4,285000
11457,3,2009,3,175000
5436,3,2010,5,125500
7910,4,2008,8,127000
1680,2,2008,7,85400
10410,3,2009,8,135000
7500,2,2010,4,68400
10574,3,2009,5,252000
9022,2,2009,5,109500
4388,3,2007,6,87000
3600,3,2006,10,114504
7024,2,2008,6,176000
9900,4,2009,4,260000
8125,3,2006,3,186500
12665,4,2008,6,153900
11900,3,2008,6,166000
11210,3,2006,7,221500
9196,3,2010,4,201000
6204,5,2006,3,118500
9291,3,2008,6,187000
12677,1,2008,4,274000
12155,4,2008,3,140000
6858,4,2010,5,128000
8480,2,2008,10,118500
2572,3,2010,5,155000
12134,4,2010,6,164000
10264,3,2006,8,214000
15623,4,2007,7,745000
15750,2,2006,6,157000
3735,3,2006,3,183900
11275,3,2007,3,220000
14112,3,2010,4,180500
3182,2,2009,5,192500
12461,2,2006,7,262000
11367,3,2006,11,255000
9084,4,2009,10,108000
24090,4,2010,6,244400
8741,3,2010,4,113000
12919,2,2010,3,611657
11625,3,2010,4,131500
8546,2,2010,3,140000
8385,3,2008,11,149900
10182,3,2006,5,290000
13891,4,2009,1,582933
5700,2,2008,8,116900
13695,3,2008,6,159000
11160,3,2010,4,244000
10240,3,2006,3,275500
9490,3,2006,8,133000
9477,3,2008,10,110000
8000,3,2008,6,188000
7200,3,2010,5,134800
2522,3,2006,5,130000
10200,3,2010,5,144900
11200,3,2006,5,180000
6120,2,2007,7,132000
12416,3,2008,11,184000
9100,2,2009,7,117500
7134,3,2007,2,130000
10655,3,2009,10,284000
10659,3,2006,1,136500
9600,2,2010,2,128000
7804,4,2009,12,135000
9750,3,2006,10,135500
9947,3,2009,6,173000
6130,2,2008,5,109500
21453,1,2006,10,180000
12203,4,2009,7,336000
9100,3,2006,7,129900
8125,3,2006,2,230000
8487,3,2009,8,190000
46589,4,2009,7,402000
7800,3,2009,6,130000
9236,3,2006,7,217000
10921,3,2007,5,94750
9375,4,2009,11,263000
13680,4,2009,6,139600
9100,6,2006,11,125000
9600,4,2006,5,87000
14803,4,2006,6,190000
7015,3,2009,7,110000
9020,3,2008,5,174900
9503,2,2007,6,144000
10206,3,2008,10,245000
12256,3,2010,4,325000
14450,3,2007,5,415298
6371,2,2010,6,224000
11414,3,2009,10,167500
3604,2,2008,2,146000
12665,4,2007,2,281213
12003,4,2010,5,269500
12772,2,2007,4,151500
8834,4,2009,6,350000
8800,3,2010,5,137500
20431,4,2006,4,437154
3182,2,2009,9,160200
7990,3,2008,4,110000
16466,3,2008,4,135500
9600,3,2007,8,187000
10356,3,2007,1,122000
8973,3,2006,7,150000
12224,3,2009,7,244000
13568,3,2006,7,156000
9100,3,2009,6,178000
10395,3,2007,7,148000
11214,4,2006,7,199900
8063,3,2007,11,181000
7681,3,2009,7,154900
8500,3,2008,7,40000
8880,3,2010,5,205000
8405,4,2009,4,98000
6435,3,2006,10,140200
53107,3,2007,6,240000
8471,3,2006,7,151000
14977,2,2007,7,440000
8993,3,2007,8,176485
13350,3,2006,6,142500
10402,3,2010,5,198900
6060,3,2007,6,100000
14850,2,2006,5,141000
11250,4,2008,5,255900
10382,2,2006,3,140000
10186,3,2010,6,190000
70761,2,2006,12,280000
8854,2,2009,5,121000
11143,4,2007,12,340000
10029,4,2007,9,211000
9945,3,2007,10,128500
6600,4,2009,12,107500
7800,2,2010,3,132000
6600,2,2009,8,109500
14226,3,2007,7,395000
11584,3,2007,11,197000
9650,2,2009,4,167900
11839,4,2008,5,262280
9525,3,2008,6,144000
11040,3,2006,9,108000
2500,4,2009,6,155000
16381,3,2006,12,223000
11194,3,2006,11,230500
4928,2,2009,10,143750
8200,4,2007,7,219500
32668,4,2007,3,200624
10000,3,2009,3,131400
8885,2,2006,6,131000
10594,2,2007,6,96500
7577,2,2007,6,194700
13600,5,2007,9,90000
3964,5,2006,6,151400
8000,6,2007,7,141000
14154,3,2007,8,280000
9760,3,2007,7,187000
12444,2,2008,11,394617
10463,3,2006,6,239900
10800,2,2006,6,120000
15498,2,2008,5,287000
3182,2,2010,6,151000
11846,2,2006,8,374000
17120,4,2008,7,134432
18450,3,2007,8,129000
11425,2,2006,7,137000
9600,3,2009,9,140000
13000,4,2009,6,193500
9808,3,2009,3,227000
36500,4,2006,6,190000
14559,2,2009,6,164900
10197,3,2008,6,163000
8544,2,2006,5,87500
4712,3,2006,8,121600
9142,4,2006,4,137000
7800,3,2006,7,119900
7420,3,2007,4,132000
8400,4,2008,6,136500
7314,2,2009,2,194500
14375,3,2009,1,137500
9000,4,2009,9,136000
8755,3,2009,6,214000
8123,3,2009,6,179000
14781,3,2006,8,275000
11287,3,2007,1,228500
11428,3,2007,5,250000
13053,4,2008,6,207000
8470,2,2009,10,85000
14442,3,2007,6,257500
13125,3,2007,7,219500
8800,3,2009,9,150500
8176,3,2007,8,139000
9353,3,2006,7,116050
6120,3,2009,4,141500
11883,3,2009,6,203000
7750,3,2007,8,162000
7200,2,2009,9,123000
5350,3,2010,5,76500
9717,2,2010,4,142125
8926,3,2009,10,112000
3182,1,2009,5,181000
10800,4,2008,6,240000
10832,3,2008,10,194500
11526,3,2008,9,191000
13159,3,2009,7,224500
12243,3,2007,2,175000
5790,3,2010,5,107400
8246,3,2010,5,154000
6911,2,2009,10,100000
12327,1,2009,9,316600
6300,3,2008,6,128000
12358,2,2007,5,128500
7500,3,2010,5,154000
12420,3,2009,6,230000
7180,3,2008,5,127000
10140,3,2006,1,181000
7060,2,2008,11,206300
6000,3,2009,7,128000
14720,4,2010,3,410000
10480,4,2008,9,205000
50271,0,2006,11,385000
8500,2,2006,12,98600
53227,2,2008,3,256000
8400,3,2009,6,156500
10562,3,2007,11,325624
11923,2,2009,5,239000
11344,3,2007,7,144000
9600,2,2009,6,160000
10000,3,2007,12,240000
11700,4,2009,5,154000
12030,3,2007,12,318000
5105,2,2007,3,148800
9246,4,2008,11,135000
8760,3,2006,8,239799
8049,2,2006,7,180000
4043,2,2008,10,140000
8777,2,2009,5,108000
11096,3,2007,7,249700
10420,3,2010,3,186000
1491,1,2010,5,75500
15576,4,2008,3,177000
6292,2,2008,4,91000
6563,2,2006,12,275000
8688,3,2006,4,232000
16659,3,2006,3,235000
7658,2,2010,2,319900
9600,3,2006,8,178000
9300,3,2010,4,167500
7406,2,2006,7,194000
10000,3,2010,2,160000
17671,4,2009,11,168000
8250,3,2008,8,134000
11050,3,2009,5,313000
10205,3,2006,5,134500
4224,3,2007,6,129900
12968,2,2008,9,144000
10200,3,2008,8,175000
14572,3,2007,11,259000
1680,3,2009,2,119500
159000,4,2007,6,277000
10159,3,2010,4,395192
9786,3,2006,5,91000
9450,3,2007,5,110000
4060,2,2009,7,99900
4608,2,2010,6,80000
11952,3,2007,11,190000
7728,3,2006,5,132500
15256,3,2007,8,282922
9060,2,2009,10,105000
4671,2,2008,10,189000
7200,3,2008,2,149000
9750,3,2006,6,274300
13101,6,2008,11,142600
11639,3,2008,12,182000
9790,3,2009,9,161500
8400,3,2009,11,227000
6000,2,2009,1,119000
8640,3,2009,7,252678
4282,2,2008,7,196000
10496,3,2007,1,143000
9170,2,2007,4,140000
1950,3,2008,7,151000
9800,3,2006,7,149900
6000,2,2008,8,107900
14115,1,2009,10,143000
7740,3,2010,6,125500
12354,3,2009,8,110000
14115,2,2006,7,230000
9206,3,2010,6,178000
8816,3,2009,6,139000
7200,3,2007,6,175000
8963,4,2008,7,299800
10800,4,2010,6,139000
11003,3,2009,4,310000
6897,3,2010,4,127000
10208,3,2009,7,265000
1936,1,2007,12,84500
2522,3,2006,4,130000
9098,2,2007,7,86000
8339,3,2007,7,106500
5868,2,2010,5,129000
4456,2,2009,6,113000
7018,4,2009,6,118964
10237,3,2007,7,178900
4224,3,2007,8,134000
9600,3,2008,10,161000
7175,2,2010,2,125000
8769,1,2008,10,367294
3636,2,2008,1,55000
8872,2,2008,12,147000
3684,2,2009,6,174000
5001,2,2009,7,230000
9600,3,2007,9,175500
8450,3,2008,4,210000
7200,3,2009,4,155000
25000,4,2007,6,143000
10171,3,2010,3,214000
14331,3,2006,5,312500
8730,3,2007,7,153575
7917,3,2007,5,148000
22420,4,2007,11,239000
5000,3,2006,4,79000
10142,4,2010,1,233000
10650,3,2010,2,128200
7800,3,2006,8,225000
12438,4,2006,7,361919
1533,1,2006,8,92000
13811,2,2006,7,176000
8120,3,2009,7,124500
7226,3,2008,6,183000
11040,3,2008,10,145000
9066,3,2008,12,230000
4270,3,2007,5,79000
12400,3,2009,6,155000
8640,3,2010,6,215200
9591,4,2007,10,317000
10364,3,2007,5,168000
6240,3,2008,6,162900
9317,3,2009,7,213000
6762,2,2010,2,206000
9400,4,2006,10,127500
10083,2,2009,8,184900
9350,3,2008,10,179900
2887,2,2008,11,173000
3000,2,2009,6,173733
7200,2,2008,1,124900
7153,3,2006,7,175900
10625,3,2008,7,250000
11362,3,2009,3,280000
12220,3,2009,9,402861
11616,3,2010,4,158900
2308,3,2007,7,155000
9056,3,2006,10,178000
12822,1,2009,8,239686
8773,3,2010,5,185500
12144,3,2009,9,133000
11911,3,2009,3,174000
14948,3,2008,11,446261
8930,4,2010,4,112000
10041,3,2006,2,220000
13214,3,2010,5,378500
10800,4,2006,12,135000
8773,3,2007,8,169000
35760,4,2006,7,625000
14054,4,2006,11,219210
13650,4,2006,7,172500
9873,3,2006,5,129000
7082,5,2006,7,160000
10010,2,2006,4,170000
10440,2,2009,5,110000
7844,3,2006,3,149500
12702,2,2008,12,97000
9000,2,2009,10,76000
9135,3,2006,5,200000
13651,3,2007,2,244000
7917,3,2007,8,175000
9439,2,2007,3,87000
12803,3,2008,9,221000
11249,3,2007,8,177500
6155,3,2008,6,128000
5400,2,2006,8,117000
9135,3,2008,12,214000
10625,2,2010,5,83000
10140,3,2009,8,165000
9600,3,2009,4,139000
7200,3,2007,5,119000
13728,4,2008,7,235000
8935,3,2009,7,195000
16157,2,2007,6,194000
11999,4,2007,5,285000
6000,3,2009,5,117000
10944,3,2008,8,271000
10762,3,2009,4,120000
27650,4,2008,11,242000
3363,3,2006,4,130000
7000,2,2007,4,135000
12244,4,2008,8,305000
9286,3,2009,10,143500
6000,3,2007,3,131000
2217,3,2009,8,88000
7446,2,2006,4,100000
21535,4,2007,1,755000
12925,4,2008,5,237500
20896,1,2006,1,423000
